,Title,Summary,Link,Time,Section,Subsection,Category,State
0,"75-Year-Old Florida Man Kicks Alligator, Saves Dog",A 75-year-old Florida man says he kicked an alligator in the snout after it attacked his dog.,https://www.nytimes.com/aponline/2019/07/13/us/ap-us-man-kicks-gator.html,2019-07-13T17:12:21+0000,U.S.,U.S.,Florida Man,National
1,"Florida Man Pleads Guilty to Threatening Cory Booker, Rashida Tlaib and Eric Swalwell","The man, who said in racist and expletive-laced phone messages that he wanted to kill Senator Cory Booker and Representatives Rashida Tlaib and Eric Swalwell, faces up to five years in prison.",https://www.nytimes.com/2019/06/11/us/threats-congress-john-kless-guilty.html,2019-06-12T01:02:29+0000,U.S.,U.S.,Florida Man,National
2,Florida Man Charged in Racist Threats Against Cory Booker and Rashida Tlaib,"The man, John J. Kless, of Florida, made phone calls laced with slurs to the lawmakers, and to another member of Congress in California, on April 16, according to court records.",https://www.nytimes.com/2019/04/19/us/threats-congress-john-kless.html,2019-04-20T01:25:03+0000,U.S.,U.S.,Florida Man,National
3,‘The Legend of Cocaine Island’ Review: Florida Man’s Silly Odyssey,A harebrained scheme ends in comic confusion in Theo Love’s goofy documentary.,https://www.nytimes.com/2019/03/29/movies/the-legend-of-cocaine-island-review.html,2019-03-29T12:00:01+0000,Movies,Movies,Florida Man,National
4,Sweet! Florida Man Wins July 4 Key Lime Pie-eating Contest,A Key West man has won the Mile-High Key Lime Pie Eatin' Contest on the subtropical island where the pie originated.,https://www.nytimes.com/aponline/2019/07/04/us/ap-us-key-lime-eating-contest.html,2019-07-04T20:00:22+0000,U.S.,U.S.,Florida Man,National
5,How Alex Jones and Infowars Helped a Florida Man Torment Sandy Hook Families,"Mr. Jones and Infowars gave Wolfgang Halbig airtime, a camera crew and help raising money to harass Sandy Hook shooting victims’ parents.",https://www.nytimes.com/2019/03/29/us/politics/alex-jones-infowars-sandy-hook.html,2019-03-29T19:11:59+0000,U.S.,U.S.,Florida Man,National
7,This May Be a First: Exploding Vape Pen Kills a Florida Man,"The authorities said the man, 35, died of a “projectile wound to the head.” It could be the first death attributed to vaping products in the United States.",https://www.nytimes.com/2018/05/16/us/man-killed-vape-explosion.html,2018-05-17T01:37:37+0000,U.S.,U.S.,Florida Man,National
8,"Florida Man Charged With Beating Stepson, 7, to Death","Jack J. Montgomery, 31, was charged with murder and child abuse in the beating death of Brice Russell, the authorities said.",https://www.nytimes.com/2018/01/02/us/florida-man-stepson-death.html,2018-01-02T21:22:43+0000,U.S.,U.S.,Florida Man,National
10,"Florida Man Kills 4 Children and Himself, Ending 21-Hour Hostage Standoff","A woman’s call about domestic violence led Gary Lindsey Jr., 35, to fire on an Orlando police officer and barricade himself in an apartment with four children held hostage.",https://www.nytimes.com/2018/06/12/us/orlando-hostage-children-dead.html,2018-06-12T05:46:24+0000,U.S.,U.S.,Florida Man,National
17,Florida Man Charged With Drawing School Shooting on Student’s Homework,"Robert Edwards, the student’s stepfather, was charged with a second-degree felony, although officials said they did not believe he planned to carry out the acts depicted.",https://www.nytimes.com/2017/12/04/us/drawing-florida-school.html,2017-12-04T19:42:51+0000,U.S.,U.S.,Florida Man,National
23,"Florida Man Strangled Wife, Then Impersonated Her on Facebook, Police Say","George J. McShane Jr., who posted messages to dupe his wife’s relatives about her absence, was charged with murder, according to the Orlando police.",https://www.nytimes.com/2017/01/13/us/man-kills-wife-facebook-post.html,2017-01-13T20:29:01+0000,U.S.,U.S.,Florida Man,National
26,F.B.I. Arrests Florida Man Accused of Threatening to Kill Gays,"A man said on Facebook that he was planning a Labor Day attack, comparing it to the Orlando nightclub massacre and killings of African-Americans by the police, the F.B.I. said.",https://www.nytimes.com/2016/09/05/us/fbi-arrests-florida-man-accused-of-threatening-to-kill-gays.html,2016-09-05T00:39:51+0000,U.S.,U.S.,Florida Man,National
28,Florida Man Who Fired at George Zimmerman’s Car Gets 20 Years in Prison,Matthew Apperson said he had fired at Mr. Zimmerman in self-defense in 2015.,https://www.nytimes.com/2016/10/18/us/florida-man-gets-20-years-in-prison-for-firing-at-george-zimmermans-car.html,2016-10-17T18:54:44+0000,U.S.,U.S.,Florida Man,National
45,Florida Man Is Arrested in 2014 Murder of Law Professor,"The Tallahassee police said Sigfredo Garcia was being held in connection with the killing of Dan Markel, a professor at Florida State University College of Law.",https://www.nytimes.com/2016/05/27/us/dan-markel-arrest-2014-murder-of-law-professor.html,2016-05-26T17:52:15+0000,U.S.,U.S.,Florida Man,National
47,Family Questions Killing of Florida Man,"Relatives of Corey Jones, a musician killed by a police officer while he waited for a tow truck on a South Florida highway, spoke at a protest rally on Thursday in Palm Beach, Fla.",https://www.nytimes.com/video/us/100000003993283/family-questions-killing-of-florida-man-.html,2015-10-22T19:01:09+0000,U.S.,U.S.,Florida Man,National
